user_id,name,fide,followers,current_rapid_rating,highest_rapid_rating,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_puzzle_rush_score
37712368,Vojtěch Plát,1.0,0.00030585269756065297,0.776503164556962,0.7639240506329115,0.010119595216191353,0.004347826086956522,0.01226993865030675,0.7012417823228633,0.7140902872777017,0.024141132776230274,0.05306045101383363,0.030600065106521503,0.6122448979591837,0.5691014188124015,0.0005261371350984386,0.0016366612111292963,0.0013034916937071858,0.569061876247505,0.19838056680161945
11177810,Fabiano Caruana,0.9610169491525424,0.01240679439739716,0.9390822784810127,1.0,0.11131554737810487,0.08956521739130435,0.09406952965235174,0.9218407596785978,0.8659370725034199,0.02504454315039274,0.036763312488156154,0.011610663001410641,0.8274052478134112,0.7598528638991067,0.01208418194161575,0.013297872340425532,0.005629974762182101,0.6225548902195609,0.2591093117408907
19134490,Iuri Shkuro,0.9586440677966103,0.00032990852770587283,0.819620253164557,0.6968354430379746,0.16375344986200552,0.0034782608695652175,0.018404907975460124,0.7618699780861946,0.7086183310533516,0.024166227508845898,0.04150085275724844,0.018229826020906427,0.6921282798833819,0.5943247503941145,0.006602172437202987,0.007364975450081833,0.005324902238122972,0.49600798403193624,0.24291497975708504
15448422,Hikaru Nakamura,0.9538983050847458,1.0,0.9339398734177216,0.9253164556962026,0.14259429622815087,0.13652173913043478,0.07975460122699388,1.0,1.0,0.6215463374237749,0.6266818267955279,0.15491735088798061,1.0,1.0,0.18531907671418874,0.13481996726677578,0.04259921790498378,0.6041916167664672,0.4979757085020243
42022994,Alireza Firouzja,0.9440677966101696,0.016105378282224723,0.9078322784810127,0.8683544303797468,0.02759889604415823,0.017391304347826087,0.03680981595092025,0.9035792549306065,0.932284541723666,0.15689226831288114,0.27799886299033544,0.14185987629760913,0.9638483965014578,0.9742511823436679,0.1953835709436524,0.2712765957446809,0.20811492913997282,0.5425149700598804,0.29554655870445345
26897358,Alexander Grischuk,0.9423728813559322,0.0058936783855788755,0.8935917721518987,0.8683544303797468,0.08555657773689052,0.09652173913043478,0.12474437627811862,0.8517165814463112,0.8727770177838576,0.023563953926070923,0.08091718779609627,0.017578760805874054,0.857725947521866,0.8633736205990541,0.011473183978275627,0.044189852700491,0.013034916937071858,0.1630738522954092,0.2550607287449393
35569958,Sergey Karjakin,0.9423728813559322,0.0030224432303887,0.915743670886076,0.8670886075949367,0.0,0.0034782608695652175,0.0,0.8473338203067935,0.7886456908344734,0.0053702727797435325,0.012886109531931023,0.002314898542337324,0.7918367346938778,0.8292170257488176,0.0005091649694501019,0.0028641571194762687,0.0009152175721773857,0.42355289421157694,0.22672064777327935
17306408,Maxime Vachier-Lagrave,0.9423728813559322,0.008932445214994688,0.923259493670886,0.8848101265822785,0.03679852805887765,0.02347826086956522,0.03680981595092025,0.923301680058437,0.8707250341997264,0.0351577203944892,0.07068410081485693,0.018338336890078487,0.816326530612245,0.8181818181818181,0.016938221317040057,0.030278232405891982,0.013229053997836759,0.6628742514970061,0.3481781376518219
28417564,Ian Nepomniachtchi,0.9420338983050848,0.00862229683347953,0.9129746835443038,0.9132911392405063,0.06807727690892364,0.052173913043478265,0.059304703476482624,0.8918918918918921,0.9124487004103967,0.07360285076162514,0.1383361758574948,0.059644807754910115,0.7965014577259476,0.788754598003153,0.0037678207739307535,0.00900163666121113,0.004714757190004714,0.6397205588822356,0.29959514170040485
22252178,Anish Giri,0.9410169491525424,0.0073799850338371045,0.8963607594936709,0.8778481012658228,0.06715731370745169,0.06695652173913044,0.07157464212678938,0.8940832724616512,0.8515731874145005,0.007628798715149692,0.026530225506916815,0.004955329692190834,0.9405247813411081,0.8560168155543877,0.002376103190767142,0.010842880523731589,0.0020800399367667858,0.6003992015968065,0.2145748987854251
5255781,Harikrishna Pentala,0.9383050847457628,0.0011022725027256116,0.8789556962025316,0.8886075949367089,0.01747930082796688,0.020869565217391306,0.02862985685071575,0.8144631117604093,0.810533515731874,0.012923787297046354,0.036763312488156154,0.0188808912359388,0.8215743440233237,0.7109826589595376,0.01047182620502376,0.023322422258592473,0.015780569653604016,0.6804391217564871,0.2793522267206478
18202610,Teimour Radjabov,0.9372881355932204,0.0017260058129195276,0.8904272151898733,0.8753164556962025,0.015639374425022997,0.020869565217391306,0.018404907975460124,0.8451424397370344,0.8337893296853625,0.0024843785289467746,0.002084517718400607,0.0007595760842044344,0.8332361516034986,0.7330530740935364,0.0020875763747454177,0.0032733224222585926,0.001331225559530743,0.5858283433133733,0.11740890688259109
85851574,Anish Giri,0.936949152542373,0.004518200383346837,1.0,0.9386075949367088,0.02575896964121435,0.0034782608695652175,0.0,0.8371073776479183,0.7859097127222983,0.005044041255740421,0.009096077316657193,0.0021340470937172206,0.9002915451895045,0.8055701523909615,0.0029192124915139173,0.008387888707037643,0.0024405801924730288,0.2720558882235529,0.2145748987854251
19314948,Leinier Dominguez Perez,0.932542372881356,0.0010352598330353562,0.8813291139240507,0.8955696202531644,0.03863845446182153,0.026086956521739132,0.044989775051124746,0.7808619430241053,0.8091655266757867,0.028858942507967583,0.06670456698881942,0.024017072376749736,0.774927113702624,0.7519705727798212,0.008723693143245078,0.016162029459901802,0.0089303047951854,0.6421157684630739,0.32793522267206476
